x, v, u
0.513514, 4.83272, 0.480624
0.514515, 4.82284, 0.479681
0.515516, 4.81296, 0.478738
0.516517, 4.80309, 0.477795
0.517518, 4.79321, 0.476851
0.518519, 4.78333, 0.475906
0.51952, 4.77345, 0.474961
0.520521, 4.76357, 0.474015
0.521522, 4.75369, 0.473069
0.522523, 4.74381, 0.472122
0.523524, 4.73393, 0.471175
0.524525, 4.72404, 0.470227
0.525526, 4.71416, 0.469278
0.526527, 4.70428, 0.468329
0.527528, 4.69439, 0.46738
0.528529, 4.68451, 0.46643
0.52953, 4.67462, 0.465479
0.530531, 4.66474, 0.464528
0.531532, 4.65485, 0.463577
0.532533, 4.64497, 0.462625
0.533534, 4.63508, 0.461672
0.534535, 4.62519, 0.460719
0.535536, 4.6153, 0.459766
0.536537, 4.60541, 0.458812
0.537538, 4.59553, 0.457858
0.538539, 4.58564, 0.456903
0.53954, 4.57575, 0.455948
0.540541, 4.56586, 0.454992
0.541542, 4.55597, 0.454036
0.542543, 4.54607, 0.453079
0.543544, 4.53618, 0.452122
0.544545, 4.52629, 0.451164
0.545546, 4.5164, 0.450206
0.546547, 4.50651, 0.449248
0.547548, 4.49661, 0.448289
0.548549, 4.48672, 0.44733
0.54955, 4.47682, 0.44637
0.550551, 4.46693, 0.44541
0.551552, 4.45703, 0.44445
0.552553, 4.44714, 0.443489
0.553554, 4.43724, 0.442527
0.554555, 4.42735, 0.441566
0.555556, 4.41745, 0.440604
0.556557, 4.40755, 0.439641
0.557558, 4.39766, 0.438678
0.558559, 4.38776, 0.437715
0.55956, 4.37786, 0.436752
0.560561, 4.36796, 0.435788
0.561562, 4.35806, 0.434823
0.562563, 4.34816, 0.433859
0.563564, 4.33826, 0.432894
0.564565, 4.32836, 0.431928
0.565566, 4.31846, 0.430962
0.566567, 4.30856, 0.429996
0.567568, 4.29866, 0.42903
0.568569, 4.28876, 0.428063
0.56957, 4.27886, 0.427096
0.570571, 4.26896, 0.426128
0.571572, 4.25906, 0.425161
0.572573, 4.24915, 0.424192
0.573574, 4.23925, 0.423224
0.574575, 4.22935, 0.422255
0.575576, 4.21944, 0.421286
0.576577, 4.20954, 0.420317
0.577578, 4.19964, 0.419347
0.578579, 4.18973, 0.418377
0.57958, 4.17983, 0.417406
0.580581, 4.16992, 0.416436
0.581582, 4.16002, 0.415465
0.582583, 4.15011, 0.414493
0.583584, 4.1402, 0.413522
0.584585, 4.1303, 0.41255
0.585586, 4.12039, 0.411578
0.586587, 4.11048, 0.410605
0.587588, 4.10058, 0.409633
0.588589, 4.09067, 0.40866
0.58959, 4.08076, 0.407686
0.590591, 4.07085, 0.406713
0.591592, 4.06094, 0.405739
0.592593, 4.05104, 0.404765
0.593594, 4.04113, 0.403791
0.594595, 4.03122, 0.402816
0.595596, 4.02131, 0.401841
0.596597, 4.0114, 0.400866
0.597598, 4.00149, 0.399891
0.598599, 3.99158, 0.398915
0.5996, 3.98167, 0.397939
0.600601, 3.97176, 0.396963
0.601602, 3.96185, 0.395986
0.602603, 3.95194, 0.39501
0.603604, 3.94202, 0.394033
0.604605, 3.93211, 0.393056
0.605606, 3.9222, 0.392078
0.606607, 3.91229, 0.391101
0.607608, 3.90238, 0.390123
0.608609, 3.89246, 0.389145
0.60961, 3.88255, 0.388166
0.610611, 3.87264, 0.387188
0.611612, 3.86273, 0.386209
