x      , v      , u      
0.28228,   0.665, 0.65829
0.28328, 0.66458, 0.65788
0.28428, 0.66416, 0.65747
0.28529, 0.66373, 0.65705
0.28629, 0.66329, 0.65662
0.28729, 0.66285, 0.65619
0.28829, 0.66241, 0.65575
0.28929, 0.66196, 0.65531
0.29029,  0.6615, 0.65486
0.29129, 0.66104,  0.6544
0.29229, 0.66057, 0.65394
0.29329,  0.6601, 0.65348
0.29429, 0.65962, 0.65301
 0.2953, 0.65913, 0.65253
 0.2963, 0.65864, 0.65205
 0.2973, 0.65815, 0.65157
 0.2983, 0.65765, 0.65107
 0.2993, 0.65715, 0.65058
 0.3003, 0.65664, 0.65008
 0.3013, 0.65612, 0.64957
 0.3023,  0.6556, 0.64906
 0.3033, 0.65508, 0.64854
 0.3043, 0.65455, 0.64802
0.30531, 0.65401, 0.64749
0.30631, 0.65348, 0.64696
0.30731, 0.65293, 0.64643
0.30831, 0.65238, 0.64589
0.30931, 0.65183, 0.64534
0.31031, 0.65128, 0.64479
0.31131, 0.65071, 0.64424
0.31231, 0.65015, 0.64368
0.31331, 0.64958, 0.64312
0.31431,   0.649, 0.64255
0.31532, 0.64842, 0.64198
0.31632, 0.64784, 0.64141
0.31732, 0.64725, 0.64083
0.31832, 0.64666, 0.64024
0.31932, 0.64606, 0.63965
0.32032, 0.64546, 0.63906
0.32132, 0.64486, 0.63847
0.32232, 0.64425, 0.63787
0.32332, 0.64364, 0.63726
0.32432, 0.64302, 0.63665
0.32533,  0.6424, 0.63604
0.32633, 0.64178, 0.63543
0.32733, 0.64115, 0.63481
0.32833, 0.64052, 0.63418
0.32933, 0.63988, 0.63355
0.33033, 0.63925, 0.63292
0.33133,  0.6386, 0.63229
0.33233, 0.63796, 0.63165
0.33333, 0.63731, 0.63101
0.33433, 0.63665, 0.63036
0.33534,   0.636, 0.62971
0.33634, 0.63533, 0.62906
0.33734, 0.63467,  0.6284
0.33834,   0.634, 0.62774
0.33934, 0.63333, 0.62708
0.34034, 0.63266, 0.62642
0.34134, 0.63198, 0.62575
0.34234,  0.6313, 0.62507
0.34334, 0.63062,  0.6244
0.34434, 0.62993, 0.62372
0.34535, 0.62924, 0.62303
0.34635, 0.62854, 0.62235
0.34735, 0.62785, 0.62166
0.34835, 0.62715, 0.62097
0.34935, 0.62644, 0.62027
0.35035, 0.62574, 0.61957
0.35135, 0.62503, 0.61887
0.35235, 0.62432, 0.61817
0.35335,  0.6236, 0.61746
0.35435, 0.62288, 0.61675
0.35536, 0.62216, 0.61604
0.35636, 0.62144, 0.61532
0.35736, 0.62071,  0.6146
0.35836, 0.61998, 0.61388
0.35936, 0.61925, 0.61316
0.36036, 0.61851, 0.61243
0.36136, 0.61778,  0.6117
0.36236, 0.61704, 0.61097
0.36336, 0.61629, 0.61023
0.36436, 0.61555,  0.6095
0.36537,  0.6148, 0.60875
0.36637, 0.61405, 0.60801
0.36737, 0.61329, 0.60727
0.36837, 0.61254, 0.60652
0.36937, 0.61178, 0.60577
0.37037, 0.61102, 0.60501
0.37137, 0.61026, 0.60426
0.37237, 0.60949,  0.6035
0.37337, 0.60872, 0.60274
0.37437, 0.60795, 0.60198
0.37538, 0.60718, 0.60121
0.37638,  0.6064, 0.60044
0.37738, 0.60562, 0.59967
0.37838, 0.60484,  0.5989
0.37938, 0.60406, 0.59813
0.38038, 0.60328, 0.59735
0.38138, 0.60249, 0.59657
0.38238,  0.6017, 0.59579
0.38338, 0.60091, 0.59501
0.38438, 0.60012, 0.59422
0.38539, 0.59932, 0.59343
0.38639, 0.59852, 0.59264
0.38739, 0.59772, 0.59185
0.38839, 0.59692, 0.59106
0.38939, 0.59612, 0.59026
0.39039, 0.59531, 0.58946
0.39139,  0.5945, 0.58866
0.39239, 0.59369, 0.58786
0.39339, 0.59288, 0.58706
0.39439, 0.59207, 0.58625
 0.3954, 0.59125, 0.58544
 0.3964, 0.59043, 0.58463
 0.3974, 0.58961, 0.58382
 0.3984, 0.58879, 0.58301
 0.3994, 0.58797, 0.58219
 0.4004, 0.58714, 0.58138
 0.4014, 0.58631, 0.58056
 0.4024, 0.58549, 0.57973
 0.4034, 0.58465, 0.57891
 0.4044, 0.58382, 0.57809
0.40541, 0.58299, 0.57726
0.40641, 0.58215, 0.57643
0.40741, 0.58131,  0.5756
0.40841, 0.58047, 0.57477
0.40941, 0.57963, 0.57394
0.41041, 0.57879,  0.5731
0.41141, 0.57795, 0.57227
0.41241,  0.5771, 0.57143
0.41341, 0.57625, 0.57059
0.41441,  0.5754, 0.56975
0.41542, 0.57455,  0.5689
0.41642,  0.5737, 0.56806
0.41742, 0.57284, 0.56721
0.41842, 0.57199, 0.56637
0.41942, 0.57113, 0.56552
0.42042, 0.57027, 0.56467
0.42142, 0.56941, 0.56381
0.42242, 0.56855, 0.56296
0.42342, 0.56769,  0.5621
0.42442, 0.56682, 0.56125
0.42543, 0.56596, 0.56039
0.42643, 0.56509, 0.55953
0.42743, 0.56422, 0.55867
0.42843, 0.56335, 0.55781
0.42943, 0.56248, 0.55694
0.43043, 0.56161, 0.55608
0.43143, 0.56073, 0.55521
0.43243, 0.55986, 0.55434
0.43343, 0.55898, 0.55348
0.43443,  0.5581, 0.55261
0.43544, 0.55722, 0.55173
0.43644, 0.55634, 0.55086
0.43744, 0.55546, 0.54999
0.43844, 0.55458, 0.54911
0.43944, 0.55369, 0.54823
0.44044,  0.5528, 0.54736
0.44144, 0.55192, 0.54648
0.44244, 0.55103,  0.5456
0.44344, 0.55014, 0.54471
0.44444, 0.54925, 0.54383
0.44545, 0.54836, 0.54295
0.44645, 0.54746, 0.54206
0.44745, 0.54657, 0.54118
0.44845, 0.54567, 0.54029
0.44945, 0.54478,  0.5394
0.45045, 0.54388, 0.53851
0.45145, 0.54298, 0.53762
0.45245, 0.54208, 0.53673
0.45345, 0.54118, 0.53584
0.45445, 0.54028, 0.53494
0.45546, 0.53938, 0.53405
0.45646, 0.53847, 0.53315
0.45746, 0.53757, 0.53225
0.45846, 0.53666, 0.53135
0.45946, 0.53575, 0.53046
0.46046, 0.53484, 0.52955
0.46146, 0.53393, 0.52865
0.46246, 0.53302, 0.52775
0.46346, 0.53211, 0.52685
0.46446,  0.5312, 0.52594
0.46547, 0.53029, 0.52504
0.46647, 0.52937, 0.52413
0.46747, 0.52846, 0.52323
0.46847, 0.52754, 0.52232
0.46947, 0.52663, 0.52141
0.47047, 0.52571,  0.5205
0.47147, 0.52479, 0.51959
0.47247, 0.52387, 0.51868
0.47347, 0.52295, 0.51776
0.47447, 0.52203, 0.51685
0.47548, 0.52111, 0.51594
0.47648, 0.52018, 0.51502
0.47748, 0.51926,  0.5141
0.47848, 0.51833, 0.51319
0.47948, 0.51741, 0.51227
0.48048, 0.51648, 0.51135
0.48148, 0.51555, 0.51043
0.48248, 0.51463, 0.50951
0.48348,  0.5137, 0.50859
0.48448, 0.51277, 0.50767
0.48549, 0.51184, 0.50675
0.48649, 0.51091, 0.50582
0.48749, 0.50997,  0.5049
0.48849, 0.50904, 0.50397
0.48949, 0.50811, 0.50305
0.49049, 0.50717, 0.50212
0.49149, 0.50624, 0.50119
0.49249,  0.5053, 0.50027
0.49349, 0.50437, 0.49934
0.49449, 0.50343, 0.49841
 0.4955, 0.50249, 0.49748
 0.4965, 0.50155, 0.49655
 0.4975, 0.50061, 0.49562
 0.4985, 0.49967, 0.49468
 0.4995, 0.49873, 0.49375
 0.5005, 0.49779, 0.49282
 0.5015, 0.49685, 0.49188
 0.5025,  0.4959, 0.49095
 0.5035, 0.49496, 0.49001
 0.5045, 0.49402, 0.48908
0.50551, 0.49307, 0.48814
0.50651, 0.49213,  0.4872
0.50751, 0.49118, 0.48626
0.50851, 0.49023, 0.48533
0.50951, 0.48929, 0.48439
0.51051, 0.48834, 0.48345
0.51151, 0.48739, 0.48251
0.51251, 0.48644, 0.48157
0.51351, 0.48549, 0.48062
0.51451, 0.48454, 0.47968
0.51552, 0.48359, 0.47874
0.51652, 0.48264, 0.47779
0.51752, 0.48169, 0.47685
0.51852, 0.48073, 0.47591
0.51952, 0.47978, 0.47496
0.52052, 0.47883, 0.47402
0.52152, 0.47787, 0.47307
0.52252, 0.47692, 0.47212
0.52352, 0.47596, 0.47117
0.52452, 0.47501, 0.47023
0.52553, 0.47405, 0.46928
0.52653, 0.47309, 0.46833
0.52753, 0.47214, 0.46738
0.52853, 0.47118, 0.46643
0.52953, 0.47022, 0.46548
0.53053, 0.46926, 0.46453
0.53153,  0.4683, 0.46358
0.53253, 0.46734, 0.46262
0.53353, 0.46638, 0.46167
0.53453, 0.46542, 0.46072
0.53554, 0.46446, 0.45977
0.53654,  0.4635, 0.45881
0.53754, 0.46254, 0.45786
0.53854, 0.46157,  0.4569
0.53954, 0.46061, 0.45595
0.54054, 0.45965, 0.45499
0.54154, 0.45868, 0.45404
0.54254, 0.45772, 0.45308
0.54354, 0.45675, 0.45212
0.54454, 0.45579, 0.45116
0.54555, 0.45482, 0.45021
0.54655, 0.45385, 0.44925
0.54755, 0.45289, 0.44829
0.54855, 0.45192, 0.44733
0.54955, 0.45095, 0.44637
0.55055, 0.44998, 0.44541
0.55155, 0.44902, 0.44445
0.55255, 0.44805, 0.44349
0.55355, 0.44708, 0.44253
0.55455, 0.44611, 0.44157
0.55556, 0.44514,  0.4406
0.55656, 0.44417, 0.43964
0.55756,  0.4432, 0.43868
0.55856, 0.44223, 0.43772
0.55956, 0.44125, 0.43675
0.56056, 0.44028, 0.43579
0.56156, 0.43931, 0.43482
0.56256, 0.43834, 0.43386
0.56356, 0.43736, 0.43289
0.56456, 0.43639, 0.43193
0.56557, 0.43542, 0.43096
0.56657, 0.43444,    0.43
0.56757, 0.43347, 0.42903
0.56857, 0.43249, 0.42806
0.56957, 0.43152,  0.4271
0.57057, 0.43054, 0.42613
0.57157, 0.42957, 0.42516
0.57257, 0.42859, 0.42419
0.57357, 0.42762, 0.42322
0.57457, 0.42664, 0.42226
0.57558, 0.42566, 0.42129
0.57658, 0.42468, 0.42032
0.57758, 0.42371, 0.41935
0.57858, 0.42273, 0.41838
0.57958, 0.42175, 0.41741
0.58058, 0.42077, 0.41644
0.58158, 0.41979, 0.41546
0.58258, 0.41881, 0.41449
0.58358, 0.41783, 0.41352
0.58458, 0.41685, 0.41255
0.58559, 0.41587, 0.41158
0.58659, 0.41489, 0.41061
0.58759, 0.41391, 0.40963
0.58859, 0.41293, 0.40866
0.58959, 0.41195, 0.40769
0.59059, 0.41097, 0.40671
0.59159, 0.40999, 0.40574
0.59259, 0.40901, 0.40476
0.59359, 0.40802, 0.40379
0.59459, 0.40704, 0.40282
 0.5956, 0.40606, 0.40184
 0.5966, 0.40508, 0.40087
 0.5976, 0.40409, 0.39989
 0.5986, 0.40311, 0.39891
 0.5996, 0.40212, 0.39794
 0.6006, 0.40114, 0.39696
 0.6016, 0.40016, 0.39599
 0.6026, 0.39917, 0.39501
 0.6036, 0.39819, 0.39403
 0.6046,  0.3972, 0.39306
0.60561, 0.39622, 0.39208
0.60661, 0.39523,  0.3911
0.60761, 0.39424, 0.39012
0.60861, 0.39326, 0.38914
0.60961, 0.39227, 0.38817
0.61061, 0.39129, 0.38719
0.61161,  0.3903, 0.38621
0.61261, 0.38931, 0.38523
0.61361, 0.38833, 0.38425
0.61461, 0.38734, 0.38327
0.61562, 0.38635, 0.38229
0.61662, 0.38536, 0.38131
0.61762, 0.38437, 0.38033
0.61862, 0.38339, 0.37935
0.61962,  0.3824, 0.37837
0.62062, 0.38141, 0.37739
0.62162, 0.38042, 0.37641
0.62262, 0.37943, 0.37543
0.62362, 0.37844, 0.37445
0.62462, 0.37745, 0.37347
0.62563, 0.37646, 0.37248
0.62663, 0.37547,  0.3715
0.62763, 0.37448, 0.37052
0.62863, 0.37349, 0.36954
0.62963,  0.3725, 0.36856
0.63063, 0.37151, 0.36757
0.63163, 0.37052, 0.36659
0.63263, 0.36953, 0.36561
0.63363, 0.36854, 0.36462
0.63463, 0.36755, 0.36364
0.63564, 0.36656, 0.36266
0.63664, 0.36557, 0.36167
0.63764, 0.36457, 0.36069
0.63864, 0.36358, 0.35971
0.63964, 0.36259, 0.35872
0.64064,  0.3616, 0.35774
0.64164,  0.3606, 0.35675
0.64264, 0.35961, 0.35577
0.64364, 0.35862, 0.35478
0.64464, 0.35763,  0.3538
0.64565, 0.35663, 0.35281
0.64665, 0.35564, 0.35183
0.64765, 0.35465, 0.35084
0.64865, 0.35365, 0.34986
0.64965, 0.35266, 0.34887
0.65065, 0.35167, 0.34789
0.65165, 0.35067,  0.3469
0.65265, 0.34968, 0.34591
0.65365, 0.34868, 0.34493
0.65465, 0.34769, 0.34394
0.65566, 0.34669, 0.34295
0.65666,  0.3457, 0.34197
0.65766,  0.3447, 0.34098
0.65866, 0.34371, 0.33999
0.65966, 0.34271, 0.33901
0.66066, 0.34172, 0.33802
0.66166, 0.34072, 0.33703
0.66266, 0.33973, 0.33604
0.66366, 0.33873, 0.33506
0.66466, 0.33774, 0.33407
0.66567, 0.33674, 0.33308
0.66667, 0.33574, 0.33209
0.66767, 0.33475,  0.3311
0.66867, 0.33375, 0.33011
0.66967, 0.33276, 0.32913
0.67067, 0.33176, 0.32814
0.67167, 0.33076, 0.32715
0.67267, 0.32976, 0.32616
0.67367, 0.32877, 0.32517
0.67467, 0.32777, 0.32418
0.67568, 0.32677, 0.32319
0.67668, 0.32578,  0.3222
0.67768, 0.32478, 0.32121
0.67868, 0.32378, 0.32022
0.67968, 0.32278, 0.31923
0.68068, 0.32179, 0.31824
0.68168, 0.32079, 0.31725
0.68268, 0.31979, 0.31626
0.68368, 0.31879, 0.31527
0.68468, 0.31779, 0.31428
0.68569,  0.3168, 0.31329
0.68669,  0.3158,  0.3123
0.68769,  0.3148, 0.31131
0.68869,  0.3138, 0.31032
0.68969,  0.3128, 0.30933
0.69069,  0.3118, 0.30834
0.69169,  0.3108, 0.30735
0.69269,  0.3098, 0.30636
0.69369, 0.30881, 0.30537
0.69469, 0.30781, 0.30438
 0.6957, 0.30681, 0.30338
 0.6967, 0.30581, 0.30239
 0.6977, 0.30481,  0.3014
 0.6987, 0.30381, 0.30041
 0.6997, 0.30281, 0.29942
 0.7007, 0.30181, 0.29843
 0.7017, 0.30081, 0.29743
 0.7027, 0.29981, 0.29644
 0.7037, 0.29881, 0.29545
 0.7047, 0.29781, 0.29446
0.70571, 0.29681, 0.29347
0.70671, 0.29581, 0.29247
