x    , v    , u    
0.38939, 0.59618, 0.59026
0.39039, 0.59537, 0.58946
0.39139, 0.59456, 0.58866
0.39239, 0.59375, 0.58786
0.39339, 0.59294, 0.58706
0.39439, 0.59213, 0.58625
0.3954, 0.59131, 0.58544
0.3964, 0.59049, 0.58463
0.3974, 0.58967, 0.58382
0.3984, 0.58885, 0.58301
0.3994, 0.58803, 0.58219
0.4004, 0.5872, 0.58138
0.4014, 0.58637, 0.58056
0.4024, 0.58554, 0.57973
0.4034, 0.58471, 0.57891
0.4044, 0.58388, 0.57809
0.40541, 0.58305, 0.57726
0.40641, 0.58221, 0.57643
0.40741, 0.58137, 0.5756
0.40841, 0.58053, 0.57477
0.40941, 0.57969, 0.57394
0.41041, 0.57885, 0.5731
0.41141, 0.578, 0.57227
0.41241, 0.57716, 0.57143
0.41341, 0.57631, 0.57059
0.41441, 0.57546, 0.56975
0.41542, 0.57461, 0.5689
0.41642, 0.57376, 0.56806
0.41742, 0.5729, 0.56721
0.41842, 0.57205, 0.56637
0.41942, 0.57119, 0.56552
0.42042, 0.57033, 0.56467
0.42142, 0.56947, 0.56381
0.42242, 0.56861, 0.56296
0.42342, 0.56775, 0.5621
0.42442, 0.56688, 0.56125
0.42543, 0.56602, 0.56039
0.42643, 0.56515, 0.55953
0.42743, 0.56428, 0.55867
0.42843, 0.56341, 0.55781
0.42943, 0.56254, 0.55694
0.43043, 0.56166, 0.55608
0.43143, 0.56079, 0.55521
0.43243, 0.55991, 0.55434
0.43343, 0.55904, 0.55348
0.43443, 0.55816, 0.55261
0.43544, 0.55728, 0.55173
0.43644, 0.5564, 0.55086
0.43744, 0.55551, 0.54999
0.43844, 0.55463, 0.54911
0.43944, 0.55375, 0.54823
0.44044, 0.55286, 0.54736
0.44144, 0.55197, 0.54648
0.44244, 0.55108, 0.5456
0.44344, 0.5502, 0.54471
0.44444, 0.5493, 0.54383
0.44545, 0.54841, 0.54295
0.44645, 0.54752, 0.54206
0.44745, 0.54662, 0.54118
0.44845, 0.54573, 0.54029
0.44945, 0.54483, 0.5394
0.45045, 0.54393, 0.53851
0.45145, 0.54304, 0.53762
0.45245, 0.54214, 0.53673
0.45345, 0.54123, 0.53584
