final_temp , Eaverage/L/L , Evariance/final_temp/final_temp , Mabsvariance/final_temp , Mabsvariance/L/L1
1, -0.56718, 262.821, 2.88011, 0.05121
1, -0.57066, 263.66, 2.8788, 0.05125
1, -0.57418, 264.526, 2.87805, 0.05127
1, -0.57768, 265.363, 2.8765, 0.05132
1, -0.58112, 266.135, 2.87518, 0.05136
1, -0.5846, 266.935, 2.87386, 0.0514
1, -0.58808, 267.724, 2.87184, 0.05148
1, -0.59162, 268.56, 2.87145, 0.05149
1, -0.59516, 269.386, 2.8704, 0.05152
1, -0.59872, 270.221, 2.86934, 0.05155
1, -0.60226, 271.027, 2.86895, 0.05156
1, -0.60578, 271.804, 2.86704, 0.05163
1, -0.60934, 272.608, 2.8657, 0.05167
1, -0.61288, 273.384, 2.86357, 0.05178
1, -0.61644, 274.168, 2.86165, 0.05185
1, -0.62, 274.942, 2.86031, 0.05189
1, -0.62354, 275.687, 2.85873, 0.05194
1, -0.62704, 276.387, 2.85669, 0.05202
1, -0.63054, 277.076, 2.85475, 0.05209
1, -0.63406, 277.773, 2.85258, 0.05219
1, -0.63754, 278.425, 2.85081, 0.05234
1, -0.64104, 279.085, 2.84946, 0.05251
1, -0.64454, 279.736, 2.84737, 0.05264
1, -0.64804, 280.376, 2.84658, 0.05283
1, -0.65148, 280.955, 2.84544, 0.05301
1, -0.65494, 281.541, 2.84458, 0.0532
1, -0.65838, 282.1, 2.84288, 0.05336
1, -0.66182, 282.651, 2.84082, 0.0535
1, -0.66532, 283.243, 2.83863, 0.05363
1, -0.66878, 283.791, 2.83642, 0.05376
1, -0.67224, 284.329, 2.83432, 0.0539
1, -0.6757, 284.858, 2.83202, 0.05402
1, -0.67916, 285.377, 2.82997, 0.05409
1, -0.68264, 285.903, 2.82885, 0.05412
1, -0.68612, 286.42, 2.82652, 0.05422
1, -0.6896, 286.927, 2.82485, 0.05427
1, -0.69308, 287.425, 2.82443, 0.05428
1, -0.69654, 287.896, 2.82402, 0.05429
1, -0.69998, 288.341, 2.82182, 0.05437
1, -0.70344, 288.793, 2.8207, 0.0544
1, -0.70692, 289.252, 2.81957, 0.05443
1, -0.7104, 289.701, 2.81736, 0.05451
1, -0.71386, 290.124, 2.81529, 0.05458
1, -0.71734, 290.554, 2.81529, 0.05458
1, -0.7208, 290.958, 2.81361, 0.05463
1, -0.72418, 291.289, 2.81152, 0.0547
1, -0.72766, 291.69, 2.80944, 0.05477
1, -0.7311, 292.05, 2.8083, 0.0548
1, -0.73456, 292.415, 2.80751, 0.05482
1, -0.73804, 292.788, 2.80709, 0.05483
1, -0.7415, 293.134, 2.80518, 0.05499
1, -0.74502, 293.519, 2.80278, 0.05509
1, -0.74858, 293.927, 2.80036, 0.05521
1, -0.75214, 294.325, 2.79792, 0.05532
1, -0.75566, 294.68, 2.79555, 0.05541
1, -0.75916, 295.009, 2.79309, 0.05552
1, -0.76266, 295.329, 2.79071, 0.05561
1, -0.76614, 295.623, 2.78876, 0.05567
1, -0.76962, 295.907, 2.78629, 0.05579
1, -0.77316, 296.229, 2.78395, 0.05593
1, -0.77668, 296.525, 2.78151, 0.05606
1, -0.78012, 296.749, 2.77914, 0.0562
1, -0.78362, 297.01, 2.77766, 0.05624
1, -0.78712, 297.261, 2.77568, 0.0563
1, -0.79062, 297.502, 2.77525, 0.05631
1, -0.79412, 297.733, 2.77408, 0.05634
1, -0.79758, 297.925, 2.7719, 0.05641
1, -0.801, 298.077, 2.76992, 0.05647
1, -0.80448, 298.264, 2.768, 0.05664
1, -0.80794, 298.427, 2.76693, 0.05684
1, -0.81134, 298.537, 2.76549, 0.05703
1, -0.8148, 298.681, 2.7635, 0.0572
1, -0.81832, 298.859, 2.76101, 0.05734
1, -0.82184, 299.028, 2.75878, 0.05741
