t, rx, ry, rz
1.9600328, -1.2011926, -0.59091532, 0
1.9627703, -1.1952797, -0.60444356, 0
1.9655078, -1.1892186, -0.61789893, 0
1.9682453, -1.1830104, -0.63127988, 0
1.9709828, -1.176656, -0.64458489, 0
1.9737202, -1.1701565, -0.65781243, 0
1.9764577, -1.1635128, -0.67096101, 0
1.9791952, -1.156726, -0.68402914, 0
1.9819327, -1.1497972, -0.69701534, 0
1.9846701, -1.1427273, -0.70991816, 0
1.9874076, -1.1355175, -0.72273615, 0
1.9901451, -1.1281688, -0.73546787, 0
1.9928826, -1.1206824, -0.74811192, 0
1.99562, -1.1130594, -0.76066688, 0
1.9983575, -1.1053008, -0.77313138, 0
2.001095, -1.0974078, -0.78550403, 0
2.0038325, -1.0893816, -0.79778349, 0
2.0065699, -1.0812233, -0.8099684, 0
2.0093074, -1.0729341, -0.82205744, 0
2.0120449, -1.0645152, -0.8340493, 0
2.0147824, -1.0559677, -0.84594267, 0
2.0175198, -1.0472929, -0.85773627, 0
2.0202573, -1.0384919, -0.86942884, 0
2.0229948, -1.0295661, -0.88101912, 0
2.0257323, -1.0205166, -0.89250586, 0
2.0284698, -1.0113447, -0.90388786, 0
2.0312072, -1.0020516, -0.91516389, 0
2.0339447, -0.99263868, -0.92633277, 0
2.0366822, -0.9831071, -0.93739332, 0
2.0394197, -0.97345819, -0.94834437, 0
2.0421571, -0.96369325, -0.95918478, 0
2.0448946, -0.95381357, -0.96991342, 0
2.0476321, -0.94382047, -0.98052917, 0
2.0503696, -0.93371528, -0.99103094, 0
2.053107, -0.92349932, -1.0014176, 0
2.0558445, -0.91317394, -1.0116882, 0
2.058582, -0.90274047, -1.0218415, 0
2.0613195, -0.89220029, -1.0318766, 0
2.0640569, -0.88155474, -1.0417925, 0
2.0667944, -0.87080521, -1.0515881, 0
2.0695319, -0.85995307, -1.0612624, 0
2.0722694, -0.84899971, -1.0708145, 0
2.0750068, -0.83794653, -1.0802434, 0
2.0777443, -0.82679493, -1.0895482, 0
