rx , ry , rz
0.829652 , 0.549801 , 0
0.819898 , 0.564029 , 0
0.809899 , 0.578089 , 0
0.799658 , 0.591975 , 0
0.789177 , 0.605685 , 0
0.77846 , 0.619213 , 0
0.76751 , 0.632556 , 0
0.756331 , 0.645709 , 0
0.744924 , 0.658669 , 0
0.733294 , 0.671432 , 0
0.721445 , 0.683993 , 0
0.709379 , 0.696348 , 0
0.6971 , 0.708495 , 0
0.684612 , 0.72043 , 0
0.671918 , 0.732148 , 0
0.659023 , 0.743646 , 0
0.645929 , 0.754921 , 0
0.632642 , 0.765969 , 0
0.619164 , 0.776786 , 0
0.6055 , 0.78737 , 0
0.591655 , 0.797718 , 0
0.577631 , 0.807825 , 0
0.563433 , 0.817689 , 0
0.549066 , 0.827308 , 0
0.534533 , 0.836677 , 0
0.51984 , 0.845794 , 0
0.504989 , 0.854656 , 0
0.489987 , 0.863261 , 0
0.474837 , 0.871606 , 0
0.459544 , 0.879688 , 0
0.444113 , 0.887505 , 0
0.428547 , 0.895055 , 0
0.412853 , 0.902334 , 0
0.397033 , 0.909341 , 0
0.381094 , 0.916074 , 0
0.36504 , 0.922531 , 0
0.348876 , 0.928709 , 0
0.332607 , 0.934607 , 0
0.316237 , 0.940222 , 0
0.299772 , 0.945554 , 0
0.283216 , 0.9506 , 0
0.266574 , 0.955359 , 0
0.249853 , 0.95983 , 0
0.233055 , 0.964011 , 0
0.216187 , 0.9679 , 0
0.199254 , 0.971497 , 0
0.182261 , 0.974801 , 0
0.165213 , 0.97781 , 0
0.148114 , 0.980523 , 0
0.130971 , 0.98294 , 0
0.113789 , 0.98506 , 0
0.0965717 , 0.986883 , 0
0.0793255 , 0.988407 , 0
0.0620553 , 0.989632 , 0
0.0447663 , 0.990558 , 0
0.0274638 , 0.991184 , 0
0.010153 , 0.991511 , 0
-0.00716085 , 0.991539 , 0
-0.0244726 , 0.991266 , 0
-0.0417769 , 0.990694 , 0
-0.0590685 , 0.989822 , 0
-0.0763423 , 0.988652 , 0
-0.0935931 , 0.987182 , 0
-0.110816 , 0.985414 , 0
-0.128005 , 0.983348 , 0
-0.145155 , 0.980985 , 0
-0.162261 , 0.978325 , 0
-0.179319 , 0.97537 , 0
-0.196322 , 0.97212 , 0
-0.213266 , 0.968577 , 0
-0.230145 , 0.964741 , 0
-0.246955 , 0.960613 , 0
-0.26369 , 0.956195 , 0
-0.280346 , 0.951489 , 0
-0.296917 , 0.946495 , 0
-0.313399 , 0.941215 , 0
-0.329785 , 0.935652 , 0
-0.346073 , 0.929805 , 0
-0.362255 , 0.923679 , 0
-0.378329 , 0.917273 , 0
-0.394288 , 0.910591 , 0
-0.410129 , 0.903634 , 0
-0.425845 , 0.896405 , 0
-0.441434 , 0.888905 , 0
-0.456889 , 0.881137 , 0
-0.472207 , 0.873104 , 0
-0.487382 , 0.864808 , 0
-0.50241 , 0.856251 , 0
-0.517287 , 0.847436 , 0
-0.532009 , 0.838366 , 0
-0.54657 , 0.829044 , 0
-0.560967 , 0.819472 , 0
-0.575195 , 0.809654 , 0
-0.589249 , 0.799591 , 0
-0.603127 , 0.789289 , 0
-0.616823 , 0.778749 , 0
-0.630334 , 0.767975 , 0
-0.643655 , 0.75697 , 0
-0.656784 , 0.745738 , 0
-0.669714 , 0.734282 , 0
-0.682444 , 0.722606 , 0
-0.694969 , 0.710712 , 0
-0.707285 , 0.698606 , 0
-0.71939 , 0.686289 , 0
-0.731278 , 0.673767 , 0
-0.742947 , 0.661043 , 0
-0.754394 , 0.648121 , 0
-0.765615 , 0.635005 , 0
-0.776606 , 0.621699 , 0
-0.787365 , 0.608206 , 0
-0.797888 , 0.594532 , 0
-0.808173 , 0.580679 , 0
-0.818216 , 0.566653 , 0
-0.828014 , 0.552458 , 0
-0.837565 , 0.538097 , 0
-0.846866 , 0.523576 , 0
-0.855914 , 0.508898 , 0
-0.864706 , 0.494069 , 0
-0.873241 , 0.479092 , 0
-0.881514 , 0.463972 , 0
-0.889526 , 0.448714 , 0
-0.897272 , 0.433322 , 0
-0.90475 , 0.417802 , 0
-0.91196 , 0.402156 , 0
-0.918898 , 0.386391 , 0
-0.925562 , 0.370511 , 0
-0.931951 , 0.354521 , 0
-0.938064 , 0.338426 , 0
-0.943897 , 0.322229 , 0
-0.94945 , 0.305938 , 0
-0.954721 , 0.289555 , 0
-0.959709 , 0.273086 , 0
-0.964412 , 0.256537 , 0
-0.968829 , 0.239911 , 0
-0.972959 , 0.223214 , 0
